customer_id,customer_name,region,province,customer_type,credit_level
C0085,浙江客户085,华东,山东,终端工厂,A
C0086,云南客户086,西南,云南,设备集成商,B
C0087,山东客户087,华东,江苏,终端工厂,A
C0088,河南客户088,华中,河南,终端工厂,A
C0089,河北客户089,华北,天津,经销商,C
C0090,河北客户090,华北,北京,终端工厂,B
C0091,广东客户091,华南,广东,经销商,A
C0092,江苏客户092,华东,江苏,终端工厂,B
C0093,湖北客户093,华中,湖南,终端工厂,B
C0094,安徽客户094,华东,安徽,终端工厂,A
C0095,北京客户095,华北,天津,终端工厂,B
C0096,天津客户096,华北,北京,经销商,C
C0097,上海客户097,华东,安徽,经销商,C
C0098,福建客户098,华南,广西,设备集成商,C
C0099,广西客户099,华南,福建,设备集成商,B
C0100,福建客户100,华南,广东,设备集成商,A
C0101,湖南客户101,华中,河南,终端工厂,A
C0102,北京客户102,华北,天津,终端工厂,C
C0103,上海客户103,华东,上海,终端工厂,A
C0104,安徽客户104,华东,安徽,终端工厂,B
C0105,安徽客户105,华东,安徽,设备集成商,B
C0106,河北客户106,华北,天津,经销商,C
C0107,安徽客户107,华东,安徽,经销商,B
C0108,湖北客户108,华中,湖南,终端工厂,A
C0109,浙江客户109,华东,安徽,经销商,B
C0110,云南客户110,西南,云南,终端工厂,A
C0111,广东客户111,华南,广东,经销商,A
C0112,广东客户112,华南,福建,终端工厂,A
C0113,安徽客户113,华东,浙江,经销商,B
C0114,江苏客户114,华东,安徽,终端工厂,B
C0115,重庆客户115,西南,四川,经销商,B
C0116,北京客户116,华北,北京,终端工厂,A
C0117,上海客户117,华东,安徽,经销商,B
C0118,浙江客户118,华东,浙江,终端工厂,B
C0119,北京客户119,华北,北京,设备集成商,A
C0120,浙江客户120,华东,山东,经销商,C
