order_id,order_date,customer_id,product_id,quantity,unit_price,order_status,sales_person,channel
O000128,2025-10-15,C0034,P1014,43,35.76,已完成,李娜,展会线索
O000129,2025-06-27,C0105,P1006,3,2203.62,已完成,李娜,经销
O000130,2025-02-23,C0042,P1009,35,704.06,已完成,王强,展会线索
O000131,2025-03-29,C0087,P1013,18,168.74,已完成,张伟,展会线索
O000132,2025-08-11,C0040,P1002,10,986.47,已完成,刘洋,经销
O000133,2025-02-05,C0079,P1011,3,452.94,已完成,王强,老客户复购
O000134,2025-07-14,C0072,P1004,5,670.86,已完成,陈敏,老客户复购
O000135,2025-02-22,C0037,P1015,95,73.66,已完成,王强,经销
O000136,2025-02-28,C0108,P1012,19,365.81,退货,陈敏,直销
O000137,2025-08-25,C0049,P1003,11,1433.12,已完成,赵磊,老客户复购
O000138,2025-04-08,C0034,P1001,10,714.25,已完成,刘洋,老客户复购
O000139,2025-06-02,C0061,P1011,44,478.87,已完成,刘洋,展会线索
O000140,2025-08-07,C0073,P1009,9,668.75,已完成,赵磊,直销
O000141,2025-07-09,C0063,P1001,11,765.21,已完成,刘洋,展会线索
O000142,2025-01-29,C0048,P1004,4,641.75,已完成,王强,经销
O000143,2025-04-08,C0049,P1015,31,74.68,已完成,王强,经销
O000144,2025-05-28,C0021,P1013,19,161.11,已完成,赵磊,老客户复购
O000145,2025-06-03,C0058,P1005,8,1466.57,已完成,刘洋,经销
O000146,2025-02-11,C0057,P1001,5,720.36,已完成,刘洋,直销
O000147,2025-01-12,C0045,P1002,17,983.24,已完成,陈敏,直销
O000148,2025-10-30,C0011,P1015,92,80.67,已完成,刘洋,经销
O000149,2025-07-17,C0118,P1014,21,39.77,已完成,王强,老客户复购
O000150,2025-02-16,C0006,P1009,19,660.01,已完成,李娜,经销
O000151,2025-09-27,C0016,P1011,10,516.47,已完成,赵磊,老客户复购
O000152,2025-04-13,C0005,P1009,37,702.92,已完成,王强,经销
O000153,2025-06-20,C0042,P1011,41,486.8,已完成,陈敏,老客户复购
O000154,2025-07-29,C0064,P1006,12,2108.24,已完成,王强,直销
O000155,2025-09-08,C0106,P1008,34,645.63,已完成,张伟,经销
O000156,2025-01-29,C0093,P1006,12,2434.51,已完成,李娜,展会线索
O000157,2025-09-23,C0012,P1005,5,1467.1,已取消,赵磊,老客户复购
O000158,2025-06-07,C0104,P1011,39,474.44,已完成,陈敏,直销
O000159,2025-03-14,C0014,P1006,4,2390.92,已完成,张伟,展会线索
O000160,2025-07-17,C0118,P1014,97,40.69,已完成,刘洋,老客户复购
O000161,2025-02-21,C0009,P1006,13,2322.99,已完成,刘洋,老客户复购
O000162,2025-08-29,C0116,P1013,7,163.45,已完成,李娜,展会线索
O000163,2025-04-09,C0073,P1008,44,743.2,已完成,赵磊,老客户复购
O000164,2025-01-03,C0099,P1003,15,1613.33,已完成,李娜,直销
O000165,2025-09-24,C0106,P1004,9,689.48,已完成,陈敏,老客户复购
O000166,2025-02-09,C0113,P1011,36,454.8,已完成,张伟,经销
O000167,2025-06-25,C0061,P1002,16,1042.46,已完成,张伟,老客户复购
O000168,2025-02-09,C0107,P1008,5,699.87,退货,张伟,直销
O000169,2025-08-25,C0089,P1008,18,715.27,已完成,赵磊,经销
O000170,2025-06-18,C0041,P1003,10,1553.63,已完成,王强,展会线索
O000171,2025-05-13,C0107,P1013,33,151.39,已完成,刘洋,经销
O000172,2025-06-07,C0110,P1001,2,811.84,已完成,刘洋,直销
O000173,2025-08-12,C0011,P1005,9,1299.77,已完成,赵磊,展会线索
O000174,2025-12-10,C0100,P1002,7,972.4,已取消,王强,直销
O000175,2025-03-01,C0023,P1012,24,337.23,已完成,李娜,展会线索
O000176,2025-08-07,C0021,P1012,19,335.27,已完成,李娜,老客户复购
O000177,2025-07-29,C0106,P1016,38,94.99,已完成,刘洋,老客户复购
O000178,2025-01-07,C0009,P1013,17,175.3,已完成,刘洋,老客户复购
O000179,2025-08-14,C0120,P1006,13,2255.59,已完成,王强,经销
O000180,2025-03-16,C0028,P1002,14,911.59,已取消,陈敏,直销
O000181,2025-08-24,C0004,P1011,18,511.33,已完成,刘洋,直销
O000182,2025-09-14,C0040,P1011,36,482.18,已完成,王强,经销
O000183,2025-01-12,C0068,P1007,8,997.16,退货,赵磊,经销
O000184,2025-01-08,C0094,P1013,9,172.3,已完成,赵磊,经销
O000185,2025-11-12,C0117,P1003,15,1430.18,已完成,李娜,老客户复购
O000186,2025-08-24,C0031,P1008,24,663.38,已完成,赵磊,直销
O000187,2025-03-05,C0056,P1001,14,772.49,已完成,李娜,经销
O000188,2025-08-05,C0104,P1012,10,373.83,已完成,李娜,直销
O000189,2025-03-17,C0119,P1002,16,972.84,已完成,张伟,经销
O000190,2025-08-30,C0040,P1008,35,757.91,已完成,李娜,老客户复购
O000191,2025-06-03,C0049,P1002,7,981.77,已完成,王强,直销
O000192,2025-04-16,C0022,P1002,11,990.09,已完成,陈敏,直销
O000193,2025-03-14,C0007,P1008,14,757.14,已完成,陈敏,展会线索
O000194,2025-11-14,C0075,P1007,11,1066.34,已完成,赵磊,直销
O000195,2025-01-03,C0006,P1003,14,1419.0,已完成,李娜,直销
O000196,2025-01-25,C0106,P1003,14,1442.91,已完成,刘洋,老客户复购
O000197,2025-07-02,C0006,P1003,6,1452.01,已完成,张伟,直销
O000198,2025-12-27,C0061,P1002,3,999.12,退货,陈敏,展会线索
O000199,2025-11-28,C0023,P1015,67,78.8,已完成,陈敏,展会线索
O000200,2025-12-30,C0094,P1007,17,1030.52,已完成,张伟,老客户复购
O000201,2025-12-20,C0060,P1013,36,172.79,已完成,张伟,经销
O000202,2025-07-05,C0111,P1003,13,1571.29,已完成,刘洋,老客户复购
O000203,2025-10-09,C0087,P1014,96,41.3,已完成,赵磊,老客户复购
O000204,2025-10-20,C0104,P1007,15,1037.94,已完成,赵磊,展会线索
O000205,2025-08-19,C0021,P1006,2,2103.73,已完成,刘洋,直销
O000206,2025-06-13,C0117,P1007,11,954.02,已完成,刘洋,经销
O000207,2025-04-03,C0042,P1013,3,169.55,已完成,李娜,展会线索
O000208,2025-11-09,C0021,P1003,11,1537.48,已完成,陈敏,展会线索
O000209,2025-04-30,C0098,P1009,17,642.42,已完成,张伟,老客户复购
O000210,2025-11-30,C0008,P1008,22,685.83,已完成,刘洋,老客户复购
O000211,2025-09-02,C0011,P1002,14,944.82,已完成,李娜,展会线索
O000212,2025-09-08,C0001,P1015,59,86.64,已完成,张伟,直销
O000213,2025-06-27,C0043,P1008,25,721.51,已完成,刘洋,老客户复购
O000214,2025-08-22,C0089,P1003,1,1437.81,已完成,赵磊,直销
O000215,2025-03-27,C0032,P1010,28,574.64,已完成,赵磊,老客户复购
O000216,2025-01-26,C0105,P1009,14,705.32,已完成,陈敏,老客户复购
O000217,2025-01-01,C0027,P1010,7,616.62,已完成,陈敏,直销
O000218,2025-07-11,C0007,P1016,50,104.28,已取消,赵磊,老客户复购
O000219,2025-06-08,C0090,P1013,40,167.64,已完成,赵磊,经销
O000220,2025-03-23,C0107,P1004,13,626.54,已完成,陈敏,经销
O000221,2025-03-30,C0041,P1010,9,615.85,已完成,王强,老客户复购
O000222,2025-11-01,C0066,P1006,6,2312.63,已完成,王强,经销
O000223,2025-11-26,C0092,P1007,8,1031.0,已完成,赵磊,直销
O000224,2025-06-03,C0014,P1002,16,1000.1,已完成,刘洋,老客户复购
O000225,2025-12-09,C0099,P1011,23,484.98,已完成,王强,老客户复购
O000226,2025-05-04,C0116,P1010,17,595.36,已取消,王强,直销
O000227,2025-11-30,C0060,P1004,14,683.5,已完成,李娜,展会线索
O000228,2025-05-24,C0012,P1011,4,484.87,已完成,刘洋,直销
O000229,2025-09-20,C0083,P1003,13,1565.23,已完成,赵磊,经销
O000230,2025-10-25,C0111,P1006,7,2210.59,已完成,陈敏,老客户复购
O000231,2025-02-16,C0115,P1009,23,631.01,已完成,王强,老客户复购
O000232,2025-01-10,C0023,P1005,10,1347.19,已完成,赵磊,直销
O000233,2025-10-20,C0038,P1011,38,491.71,已完成,李娜,经销
O000234,2025-06-13,C0020,P1006,5,2317.12,已完成,张伟,直销
O000235,2025-04-29,C0065,P1003,5,1526.35,已完成,刘洋,展会线索
O000236,2025-05-18,C0033,P1010,27,639.6,已完成,陈敏,展会线索
O000237,2025-11-19,C0055,P1006,9,2230.18,已完成,赵磊,直销
O000238,2025-01-19,C0074,P1005,7,1472.4,已完成,张伟,老客户复购
O000239,2025-06-13,C0024,P1005,6,1417.58,已完成,赵磊,展会线索
O000240,2025-05-10,C0081,P1001,8,750.42,已完成,王强,直销
O000241,2025-02-27,C0041,P1010,25,605.51,已完成,赵磊,直销
O000242,2025-10-13,C0041,P1009,38,729.98,已完成,王强,经销
O000243,2025-11-07,C0065,P1002,16,932.76,已完成,王强,老客户复购
O000244,2025-01-03,C0113,P1003,8,1551.89,已完成,张伟,展会线索
O000245,2025-11-17,C0103,P1008,8,716.06,已完成,李娜,经销
O000246,2025-09-29,C0062,P1002,14,923.58,已完成,刘洋,经销
O000247,2025-12-27,C0011,P1015,82,80.86,已完成,刘洋,老客户复购
O000248,2025-06-03,C0074,P1008,37,751.47,已完成,刘洋,直销
O000249,2025-09-01,C0027,P1015,51,83.35,已完成,陈敏,直销
O000250,2025-06-07,C0087,P1002,7,1007.0,已完成,赵磊,展会线索
O000251,2025-03-07,C0020,P1003,14,1533.0,已完成,刘洋,展会线索
O000252,2025-10-08,C0059,P1004,14,693.44,已完成,陈敏,直销
O000253,2025-01-25,C0081,P1002,2,924.23,已取消,李娜,展会线索
O000254,2025-01-12,C0117,P1006,13,2357.93,已完成,王强,直销
O000255,2025-06-09,C0027,P1009,25,678.16,已完成,张伟,经销
O000256,2025-09-23,C0027,P1007,15,1074.69,已完成,陈敏,直销
O000257,2025-11-25,C0095,P1004,7,718.16,已完成,王强,老客户复购
O000258,2025-04-13,C0029,P1003,4,1615.66,已完成,李娜,直销
O000259,2025-04-26,C0050,P1010,37,604.91,已完成,张伟,经销
O000260,2025-08-17,C0048,P1016,64,92.97,已完成,王强,老客户复购
O000261,2025-03-20,C0071,P1011,41,451.84,已完成,刘洋,经销
O000262,2025-08-01,C0025,P1001,4,713.46,已完成,李娜,老客户复购
O000263,2025-11-04,C0033,P1002,4,1059.46,已完成,赵磊,经销
O000264,2025-08-15,C0046,P1006,6,2382.81,已完成,刘洋,直销
O000265,2025-07-11,C0096,P1004,1,622.78,已完成,刘洋,展会线索
O000266,2025-08-30,C0006,P1014,30,38.09,已完成,赵磊,展会线索
O000267,2025-08-02,C0077,P1009,25,692.43,已完成,赵磊,老客户复购
O000268,2025-03-28,C0083,P1001,11,799.38,已完成,刘洋,老客户复购
O000269,2025-01-17,C0116,P1011,33,485.95,已完成,张伟,展会线索
O000270,2025-01-28,C0044,P1006,5,2441.72,已完成,王强,老客户复购
O000271,2025-02-07,C0011,P1008,19,708.01,已完成,王强,直销
O000272,2025-02-18,C0032,P1004,9,647.87,已完成,陈敏,直销
O000273,2025-09-23,C0097,P1004,8,658.0,已完成,王强,直销
O000274,2025-10-15,C0075,P1002,10,1010.14,已完成,张伟,展会线索
O000275,2025-06-02,C0046,P1008,27,709.81,已完成,赵磊,直销
O000276,2025-06-21,C0025,P1014,30,39.69,已完成,赵磊,经销
O000277,2025-09-25,C0112,P1004,13,687.78,已完成,陈敏,经销
O000278,2025-08-26,C0094,P1010,13,602.24,已取消,陈敏,直销
O000279,2025-12-14,C0006,P1003,15,1596.65,已完成,王强,直销
O000280,2025-03-29,C0043,P1006,5,2271.5,已完成,李娜,直销
O000281,2025-01-19,C0020,P1002,12,990.25,已完成,陈敏,展会线索
O000282,2025-12-28,C0067,P1012,7,379.09,已完成,赵磊,经销
O000283,2025-11-16,C0097,P1003,10,1567.19,已完成,王强,展会线索
O000284,2025-03-07,C0044,P1012,38,349.76,已完成,王强,直销
O000285,2025-07-28,C0002,P1012,22,326.48,已完成,刘洋,老客户复购
O000286,2025-11-08,C0062,P1002,15,985.38,已完成,张伟,展会线索
O000287,2025-08-15,C0018,P1010,42,536.77,已完成,刘洋,经销
O000288,2025-07-07,C0097,P1002,7,975.41,已完成,赵磊,经销
O000289,2025-12-02,C0029,P1011,26,503.14,已完成,王强,展会线索
O000290,2025-03-01,C0040,P1010,21,587.61,已完成,刘洋,直销
O000291,2025-04-27,C0096,P1008,38,705.0,已完成,陈敏,老客户复购
O000292,2025-11-15,C0028,P1009,13,637.1,已完成,刘洋,直销
O000293,2025-07-17,C0077,P1012,29,362.5,已完成,陈敏,老客户复购
O000294,2025-12-25,C0069,P1009,12,641.71,已完成,王强,经销
O000295,2025-09-11,C0071,P1011,21,458.24,已取消,王强,展会线索
O000296,2025-12-15,C0057,P1007,10,1006.34,已完成,李娜,经销
O000297,2025-05-06,C0088,P1007,1,1055.56,已完成,张伟,直销
O000298,2025-06-23,C0075,P1002,4,979.71,已完成,赵磊,经销
O000299,2025-12-08,C0033,P1004,14,689.62,已完成,李娜,经销
O000300,2025-04-16,C0103,P1004,9,704.97,已完成,刘洋,经销
O000301,2025-09-07,C0068,P1005,1,1472.3,已完成,张伟,展会线索
O000302,2025-06-09,C0081,P1016,24,91.9,已完成,刘洋,经销
O000303,2025-05-22,C0089,P1016,91,95.93,已取消,赵磊,老客户复购
O000304,2025-11-01,C0057,P1016,21,92.7,已完成,陈敏,经销
O000305,2025-07-15,C0051,P1002,1,1027.49,已完成,王强,展会线索
O000306,2025-02-12,C0009,P1011,19,500.27,已完成,李娜,老客户复购
O000307,2025-11-26,C0021,P1015,66,77.18,已完成,赵磊,展会线索
O000308,2025-05-05,C0091,P1004,15,685.54,已完成,王强,展会线索
O000309,2025-07-11,C0097,P1007,7,966.91,已完成,陈敏,经销
O000310,2025-08-02,C0003,P1002,15,1060.86,已完成,赵磊,经销
O000311,2025-06-17,C0119,P1012,4,368.52,已完成,张伟,展会线索
O000312,2025-04-07,C0048,P1012,41,356.52,已完成,赵磊,直销
O000313,2025-07-16,C0117,P1003,10,1477.18,已完成,赵磊,直销
O000314,2025-03-26,C0039,P1010,17,574.36,已完成,李娜,老客户复购
O000315,2025-09-25,C0021,P1009,5,625.95,已完成,赵磊,经销
O000316,2025-08-08,C0026,P1003,5,1568.23,已完成,张伟,经销
O000317,2025-09-03,C0104,P1002,11,1025.78,已完成,王强,直销
O000318,2025-01-21,C0088,P1005,6,1499.59,已完成,陈敏,老客户复购
O000319,2025-11-21,C0067,P1008,27,753.93,已完成,张伟,老客户复购
O000320,2025-08-15,C0024,P1013,40,170.97,已完成,王强,直销
O000321,2025-12-30,C0057,P1005,2,1389.28,已完成,刘洋,老客户复购
O000322,2025-10-04,C0015,P1002,1,912.92,已完成,李娜,直销
O000323,2025-12-04,C0091,P1010,24,594.74,已完成,陈敏,经销
O000324,2025-12-13,C0077,P1002,16,937.22,已完成,陈敏,展会线索
O000325,2025-02-16,C0023,P1013,3,166.75,已完成,张伟,直销
O000326,2025-01-04,C0105,P1003,15,1522.33,已完成,李娜,展会线索
O000327,2025-10-29,C0092,P1014,26,41.8,已完成,王强,经销
O000328,2025-07-29,C0079,P1013,29,151.02,已完成,张伟,经销
O000329,2025-02-07,C0029,P1005,3,1425.16,已完成,赵磊,展会线索
O000330,2025-10-08,C0052,P1001,6,772.1,已完成,陈敏,直销
O000331,2025-10-02,C0098,P1001,7,770.19,已完成,赵磊,经销
O000332,2025-05-01,C0035,P1013,16,165.95,已完成,王强,展会线索
O000333,2025-10-13,C0007,P1009,27,721.2,已完成,王强,经销
O000334,2025-11-30,C0091,P1001,4,772.15,已完成,李娜,直销
O000335,2025-03-27,C0108,P1003,16,1573.32,已完成,王强,直销
O000336,2025-02-04,C0034,P1012,23,322.67,已取消,赵磊,直销
O000337,2025-06-21,C0015,P1002,9,998.77,已完成,陈敏,直销
O000338,2025-03-06,C0003,P1011,42,486.88,已完成,王强,老客户复购
O000339,2025-12-27,C0042,P1003,8,1677.67,已完成,王强,直销
O000340,2025-06-28,C0030,P1008,30,741.3,已完成,刘洋,直销
O000341,2025-07-13,C0034,P1007,9,978.1,已完成,刘洋,老客户复购
O000342,2025-06-02,C0001,P1001,6,755.22,已完成,王强,老客户复购
O000343,2025-04-03,C0058,P1010,16,618.5,已完成,李娜,展会线索
O000344,2025-05-21,C0065,P1013,10,150.96,退货,陈敏,经销
O000345,2025-12-07,C0054,P1003,10,1581.27,已完成,张伟,展会线索
O000346,2025-02-06,C0035,P1013,23,167.93,已完成,李娜,直销
O000347,2025-07-11,C0085,P1016,86,103.7,已完成,张伟,老客户复购
O000348,2025-01-19,C0050,P1014,118,41.21,已取消,赵磊,展会线索
O000349,2025-04-13,C0115,P1011,27,435.41,退货,赵磊,展会线索
O000350,2025-08-03,C0006,P1013,20,156.69,已完成,刘洋,经销
O000351,2025-03-23,C0012,P1009,42,716.51,已完成,张伟,老客户复购
O000352,2025-05-23,C0091,P1006,9,2361.43,已完成,王强,展会线索
O000353,2025-07-29,C0018,P1002,7,985.61,已完成,刘洋,展会线索
O000354,2025-01-02,C0064,P1013,32,148.96,已完成,陈敏,老客户复购
O000355,2025-08-23,C0060,P1009,28,655.35,退货,陈敏,展会线索
O000356,2025-10-06,C0099,P1001,11,741.97,已完成,赵磊,老客户复购
O000357,2025-05-02,C0072,P1003,3,1596.84,已完成,刘洋,展会线索
O000358,2025-01-23,C0040,P1009,38,693.58,已完成,赵磊,经销
O000359,2025-06-05,C0053,P1002,1,1010.86,已完成,王强,直销
O000360,2025-05-06,C0073,P1002,5,997.21,已完成,刘洋,老客户复购
O000361,2025-11-17,C0014,P1003,5,1559.63,已完成,赵磊,展会线索
O000362,2025-02-14,C0048,P1001,11,703.3,已完成,陈敏,老客户复购
O000363,2025-11-11,C0019,P1007,10,1066.83,已完成,刘洋,老客户复购
O000364,2025-12-23,C0058,P1006,9,2512.9,已完成,陈敏,老客户复购
O000365,2025-04-19,C0117,P1012,7,344.55,已完成,张伟,直销
O000366,2025-12-08,C0031,P1013,5,154.1,已完成,陈敏,老客户复购
