order_id,material_cost,labor_cost,manufacturing_cost,logistics_cost,other_cost
O000152,13644.13,2596.8,3206.46,571.04,425.32
O000153,10553.29,2392.2,1892.89,785.89,352.64
O000154,13800.19,2862.33,2997.5,552.28,369.3
O000155,11192.75,2795.48,2325.96,416.79,323.49
O000156,14141.22,2830.28,2578.72,941.38,186.19
O000157,3507.23,783.68,520.15,321.3,72.17
O000158,10417.45,2094.11,2207.15,745.78,245.73
O000159,4567.9,959.0,872.12,191.99,96.26
O000160,2270.46,560.17,395.61,91.47,69.03
O000161,16343.36,3332.92,2342.11,1187.53,506.15
O000162,600.66,150.41,130.7,32.33,18.59
O000163,15252.77,3695.88,3015.19,774.89,461.0
O000164,11654.01,2997.7,2063.15,417.61,479.63
O000165,3322.51,860.78,517.23,167.36,43.49
O000166,9953.84,2445.07,1840.35,352.53,113.08
O000167,7494.13,1660.22,1564.23,428.36,184.07
O000168,1626.89,409.53,327.89,165.14,51.18
O000169,6212.01,1278.57,1452.74,200.45,127.51
O000170,8000.73,1783.51,1477.99,343.72,271.89
O000171,2916.47,614.31,507.82,102.59,96.42
O000172,710.13,165.23,164.18,37.46,8.26
O000173,7369.15,1327.15,1134.77,200.8,138.23
O000174,3127.21,644.05,579.37,186.23,65.56
O000175,5427.14,1330.29,1016.6,399.31,160.8
O000176,3923.73,878.07,942.9,231.25,52.2
O000177,2172.91,417.42,379.62,82.89,31.31
O000178,1455.61,405.49,276.26,53.71,18.79
O000179,19866.16,4139.03,2505.46,542.08,339.4
O000180,6273.57,1334.54,1212.03,331.76,239.04
O000181,4415.56,948.44,1050.58,406.71,61.42
O000182,10149.44,2286.34,1646.2,537.44,164.16
O000183,3962.41,857.82,841.19,350.27,83.39
O000184,813.25,183.92,172.23,64.05,15.36
O000185,11401.07,2408.48,2402.13,445.44,189.94
O000186,8317.03,2176.08,1686.98,776.77,104.27
O000187,4867.26,1060.72,993.98,469.57,190.58
O000188,2164.11,499.25,494.37,106.28,65.39
O000189,7862.14,1650.4,1586.96,438.88,114.92
O000190,12422.7,2412.38,2333.08,1208.32,166.86
O000191,3009.3,755.36,578.94,203.61,76.18
O000192,4771.54,912.42,1168.14,246.39,124.06
O000193,5251.28,1241.85,779.62,347.66,169.08
O000194,5918.82,1421.28,1093.5,248.17,140.44
O000195,10737.49,2454.16,1634.35,343.15,386.97
O000196,9959.63,2158.63,2290.19,592.66,155.99
O000197,4480.38,1035.8,854.56,410.89,80.77
O000198,1420.3,262.35,255.72,122.7,25.09
O000199,3184.4,605.98,497.9,175.88,79.85
O000200,8371.52,2321.38,1505.62,336.35,140.86
O000201,3164.4,623.19,734.62,201.19,67.35
O000202,10411.31,2071.31,1601.87,502.32,175.35
O000203,2186.47,448.77,427.47,152.35,66.05
O000204,8084.88,1548.32,1251.36,529.13,124.3
O000205,3000.6,537.66,424.13,174.46,40.87
O000206,5970.41,1059.3,1119.97,364.06,161.92
O000207,277.29,61.69,50.54,12.46,9.76
O000208,8029.68,1525.28,1355.66,761.13,233.38
O000209,6703.12,1618.7,1434.93,374.28,83.62
O000210,7304.28,1776.98,1403.63,521.02,188.26
O000211,6570.92,1177.81,985.03,532.48,104.46
O000212,2829.96,631.04,656.29,226.14,57.24
O000213,8912.46,1661.01,1610.62,733.89,258.66
O000214,961.26,146.26,165.97,35.31,24.88
O000215,8392.06,1563.27,1454.85,742.03,277.87
O000216,5358.91,1170.52,1098.13,309.26,144.81
O000217,2077.16,543.63,453.63,114.6,75.36
O000218,2775.25,541.49,434.35,205.88,93.73
O000219,3868.11,879.55,598.82,122.66,68.23
O000220,4961.72,1249.79,805.15,339.43,110.84
O000221,2557.53,626.17,608.85,136.71,102.32
O000222,6846.89,1325.37,1165.89,614.63,156.24
O000223,4366.09,947.69,803.92,356.66,93.63
O000224,7730.24,1391.48,1525.49,633.51,295.81
O000225,5806.95,1412.37,1138.87,316.76,73.63
O000226,4910.3,1319.54,1123.93,287.26,176.38
O000227,4757.05,1192.8,1151.93,424.48,101.35
O000228,1091.79,228.96,236.44,65.12,31.95
O000229,9141.6,2262.65,1936.73,739.63,314.06
O000230,8834.29,2074.39,1404.66,679.41,105.71
O000231,8865.45,2247.68,1378.34,649.31,246.42
O000232,6569.7,1357.63,1218.4,658.82,108.12
O000233,10124.66,1866.67,1688.64,779.46,178.24
O000234,6370.18,1330.18,1161.25,188.51,224.16
O000235,3569.57,852.88,692.95,225.48,111.8
O000236,8448.6,1591.42,1600.25,736.82,201.17
O000237,10157.91,2214.72,1799.04,389.46,214.04
O000238,4624.28,853.14,934.53,512.82,200.59
O000239,4133.15,799.57,595.91,375.72,49.64
O000240,2674.99,637.54,462.29,265.24,100.0
O000241,7929.58,1926.23,1290.28,613.25,156.36
O000242,14743.12,2733.59,3055.94,1359.88,156.84
O000243,6948.39,1406.7,1389.21,375.75,255.26
O000244,5979.71,1335.69,1281.48,343.51,127.85
O000245,2910.78,697.9,422.01,114.76,46.95
O000246,6328.85,1328.12,1353.47,568.73,101.91
O000247,3881.95,815.48,748.19,243.52,122.03
O000248,12369.73,2423.14,2663.33,800.62,206.96
O000249,2255.2,548.12,421.36,212.16,47.14
O000250,3097.13,761.84,553.79,227.63,86.27
O000251,10432.78,2630.56,1771.79,1001.22,362.07
O000252,4948.19,990.95,884.43,258.65,129.64
O000253,862.0,241.31,146.17,45.79,12.27
O000254,14881.99,3924.33,3155.65,703.68,554.1
O000255,9888.51,2333.72,2130.87,622.0,212.29
O000256,7691.5,1561.08,1561.3,743.67,224.23
O000257,2696.2,535.54,536.65,189.54,75.69
O000258,3066.58,597.18,486.6,318.3,36.7
O000259,11249.81,2454.96,2051.65,948.3,362.14
O000260,3774.3,763.49,711.02,275.08,118.45
O000261,11551.88,2627.56,1749.77,292.92,321.94
O000262,1847.4,344.06,243.87,106.72,27.81
O000263,1816.75,482.5,314.78,149.24,44.14
O000264,9566.26,1636.91,1653.56,265.3,118.8
O000265,355.37,70.3,70.44,23.56,3.53
O000266,662.15,171.94,133.84,18.56,10.55
O000267,9660.29,1863.96,2113.71,669.58,208.95
O000268,4085.79,824.02,655.19,335.45,119.58
O000269,8475.56,1823.7,1606.76,403.95,251.03
O000270,6073.73,1298.25,1098.12,339.12,112.95
O000271,6246.1,1352.35,1185.21,459.65,223.4
O000272,3211.45,860.28,728.6,288.44,105.79
O000273,2950.28,674.77,466.44,212.05,73.71
O000274,4627.78,1115.02,873.84,336.73,110.87
O000275,9768.02,2437.24,2124.51,814.72,99.79
O000276,725.41,139.22,156.34,26.07,13.81
O000277,4887.51,1114.14,878.81,346.49,118.33
O000278,3838.82,941.25,665.45,307.6,39.51
O000279,11337.94,2420.28,1985.53,791.53,351.57
O000280,6352.05,1506.91,1267.95,360.76,123.59
O000281,5160.53,1172.0,1249.47,337.96,141.69
O000282,1427.04,300.87,228.69,96.81,31.1
O000283,7622.68,1711.51,1656.82,647.02,259.71
O000284,8018.99,1690.56,1867.39,224.61,96.88
O000285,4587.38,1086.88,696.41,288.57,96.11
O000286,6918.67,1504.99,1357.6,305.41,98.01
O000287,12428.95,3113.55,2591.21,717.01,305.99
O000288,3264.72,668.58,511.24,316.73,95.58
O000289,7048.12,1510.63,1485.58,463.84,75.97
O000290,6789.48,1324.67,1036.83,223.12,195.05
O000291,13720.95,3219.78,3079.38,729.04,359.44
O000292,5008.92,1313.06,872.15,401.46,59.89
O000293,6361.62,1443.08,1361.24,168.24,64.88
O000294,4250.85,1054.82,923.27,359.72,92.51
O000295,5173.02,1094.11,829.3,405.95,165.84
O000296,5614.39,1128.91,789.03,233.63,139.04
O000297,558.63,98.45,83.69,41.76,15.84
O000298,1780.34,465.86,297.33,185.76,31.41
O000299,4757.5,1063.17,842.76,322.88,147.74
O000300,3257.81,777.27,593.51,101.37,124.43
O000301,687.9,121.92,124.41,54.81,11.57
O000302,1350.18,302.82,224.09,43.98,36.14
O000303,4926.51,1016.95,1089.69,355.84,79.84
O000304,1232.75,281.14,210.46,58.33,30.95
O000305,442.4,102.21,96.06,34.81,14.51
O000306,5037.4,985.3,930.48,319.56,158.74
O000307,3166.5,672.65,732.1,95.63,41.27
O000308,5308.28,1085.09,1116.03,168.48,78.78
O000309,3545.37,879.06,832.93,290.68,52.33
O000310,8441.08,1260.64,1227.84,687.59,188.57
O000311,836.46,166.17,155.73,47.28,15.1
O000312,9217.4,1985.7,1944.66,608.45,218.05
O000313,7500.52,1345.46,1532.25,405.61,99.95
O000314,5150.91,1272.36,1222.5,274.31,128.31
O000315,1991.98,395.61,306.61,77.82,57.86
O000316,4460.08,782.62,716.12,350.1,149.5
O000317,5413.15,984.33,830.43,544.14,142.68
O000318,3754.91,877.76,864.32,395.37,161.59
O000319,9559.31,2429.05,1844.23,737.85,333.45
O000320,3657.24,686.77,667.98,251.93,53.92
O000321,1244.28,269.67,199.78,113.98,24.68
O000322,436.37,111.74,103.9,14.33,7.76
O000323,7819.74,1566.25,1710.72,351.1,118.06
O000324,7081.18,1381.26,1697.8,739.19,289.68
O000325,291.95,70.72,57.82,21.97,4.06
O000326,11067.69,2661.96,2561.77,870.39,401.56
O000327,589.98,144.13,140.38,22.14,20.54
O000328,2690.29,634.69,610.99,128.49,49.4
O000329,1977.79,356.17,381.61,107.69,80.89
O000330,1969.32,462.16,491.25,215.58,71.9
O000331,2480.83,500.03,445.85,97.88,90.53
O000332,1440.47,353.43,268.17,82.98,35.38
O000333,10681.33,2023.87,1890.49,380.74,119.49
O000334,1420.82,274.25,216.29,143.31,40.2
O000335,11351.65,2207.84,1920.87,792.87,378.28
O000336,4956.51,932.18,999.88,216.48,88.84
O000337,4347.89,869.09,675.77,409.63,73.55
O000338,10719.05,2680.5,2327.56,879.59,158.64
O000339,5870.84,1142.87,1186.86,338.75,205.8
O000340,9728.34,1938.99,1976.21,1079.4,408.37
O000341,5050.19,1017.97,721.61,226.31,133.25
O000342,1984.17,432.21,323.75,143.3,36.86
O000343,4590.09,1055.53,883.35,334.61,160.67
O000344,871.13,231.11,140.18,46.06,20.85
O000345,8015.84,1729.68,1226.68,523.62,172.94
O000346,2120.03,418.42,412.78,78.22,62.42
O000347,4849.49,890.19,1094.8,326.17,86.88
O000348,2505.75,633.63,491.09,227.42,26.86
O000349,6620.31,1877.7,1675.4,187.76,185.05
O000350,1772.33,447.35,419.86,58.07,26.89
O000351,14769.74,2910.0,2415.17,1294.74,285.12
O000352,10680.36,2669.14,2069.57,638.05,109.95
O000353,3268.96,615.75,704.6,165.73,104.27
O000354,3023.29,693.31,512.33,116.06,85.54
O000355,9828.66,2070.7,2161.17,799.99,190.38
O000356,3935.25,880.99,596.44,300.03,140.45
O000357,2416.66,409.18,469.07,141.36,24.66
O000358,14630.43,2734.11,2634.67,636.44,274.56
O000359,461.8,97.67,91.88,23.61,14.69
O000360,2433.55,460.38,450.13,187.99,67.16
O000361,3676.76,887.78,569.49,217.93,101.29
O000362,3571.88,863.94,799.6,321.62,51.84
O000363,5608.64,1219.69,949.97,253.03,145.02
O000364,11300.29,2413.24,2229.01,622.38,244.76
O000365,1430.2,357.96,268.02,52.28,25.42
O000366,486.71,113.36,82.85,36.01,4.72
O000367,4057.34,828.69,694.56,142.43,117.58
O000368,938.52,219.22,195.0,78.45,15.33
O000369,3342.93,758.53,767.44,169.67,43.13
O000370,1535.18,368.28,262.06,115.04,19.38
O000371,2621.29,463.47,380.94,76.89,53.03
O000372,1542.8,403.46,377.13,65.31,39.1
O000373,337.71,77.47,63.61,16.33,10.41
O000374,5722.53,1551.65,1264.61,445.09,212.41
O000375,2849.81,610.87,517.59,115.69,68.08
O000376,641.48,167.53,108.83,29.04,10.94
O000377,4022.84,723.16,731.18,268.55,54.64
O000378,5414.24,1235.07,850.99,319.49,188.59
O000379,11849.52,2507.27,2160.73,454.72,363.09
O000380,4393.41,998.72,679.79,273.43,60.98
O000381,11461.48,2536.33,2217.26,500.31,344.29
O000382,971.43,219.27,218.57,111.07,20.23
O000383,2790.82,630.44,631.14,101.26,68.65
O000384,1333.15,189.22,169.76,93.35,15.61
O000385,3228.25,886.42,701.96,107.61,77.91
O000386,8611.66,1441.33,1274.22,379.1,190.37
O000387,7658.73,2058.17,1833.49,280.18,89.11
O000388,4165.84,977.4,733.65,172.02,108.41
O000389,5335.94,1020.08,1200.83,442.43,119.03
O000390,4080.61,751.43,759.35,153.51,41.26
O000391,2424.98,404.17,432.25,172.26,32.27
O000392,5307.54,911.74,915.62,375.28,200.7
O000393,3769.15,875.52,614.92,231.49,50.08
O000394,442.61,105.45,97.1,16.87,5.9
O000395,4117.17,1011.4,803.29,202.16,119.1
O000396,5737.06,1281.54,986.86,239.02,122.94
O000397,17251.7,3732.75,3482.29,728.25,595.06
O000398,3997.68,937.82,911.98,235.38,76.67
O000399,520.64,133.32,124.35,39.21,17.87
O000400,1630.08,357.74,325.49,102.83,47.73
O000401,2558.16,674.96,535.64,147.0,62.03
O000402,4868.64,1131.01,777.41,307.07,193.07
O000403,3592.75,937.71,791.48,274.16,73.28
O000404,2513.27,612.85,486.68,208.2,79.52
O000405,5392.04,1342.72,1073.69,283.35,120.54
O000406,7079.1,1109.92,919.19,305.74,92.0
O000407,9952.78,2650.65,1780.23,800.63,153.2
O000408,5443.55,845.65,857.45,374.12,140.22
O000409,1022.57,260.83,188.19,88.85,40.46
O000410,2215.66,395.92,381.18,112.87,27.8
O000411,9764.61,2218.52,2473.26,666.98,273.7
O000412,3650.38,874.1,861.29,237.22,39.81
O000413,8245.64,2212.24,1518.37,620.51,114.43
O000414,10944.24,2976.85,2036.92,632.64,266.15
O000415,802.65,140.07,167.02,45.26,29.79
O000416,895.37,175.45,134.16,29.16,23.82
O000417,1484.71,317.36,262.7,79.24,17.65
O000418,7002.38,1302.51,947.05,401.39,161.22
O000419,8580.98,1923.12,1760.43,652.08,167.94
O000420,2045.31,426.53,416.34,131.27,62.32
O000421,18739.86,4828.35,2961.27,1407.5,547.87
O000422,356.18,78.59,80.07,17.45,12.71
O000423,6696.98,1116.44,1027.53,348.01,122.95
O000424,7685.84,1532.38,1390.11,597.63,127.31
O000425,1153.76,234.79,245.07,50.49,20.64
O000426,438.15,94.83,90.59,38.59,8.69
O000427,2499.24,532.25,375.66,178.8,32.82
O000428,8004.58,1866.56,1386.73,472.88,84.45
O000429,3963.45,972.49,857.31,221.22,79.41
O000430,1454.51,385.34,335.92,75.75,45.85
O000431,884.47,168.48,186.07,38.72,16.12
O000432,2567.21,603.5,604.2,152.74,31.26
O000433,8531.83,2033.48,1785.12,603.13,105.49
O000434,3646.52,915.42,685.03,254.79,118.71
O000435,6938.42,1627.06,1452.9,309.05,176.07
O000436,2205.61,431.49,481.8,162.57,50.25
O000437,11462.95,2421.07,2524.74,748.98,435.05
O000438,6763.49,1608.99,1611.44,232.36,185.15
O000439,9318.14,2503.88,1996.07,1059.7,398.52
O000440,8326.74,1415.75,1502.22,522.73,118.75
O000441,4968.15,902.96,1119.56,398.42,154.59
O000442,5618.64,1110.52,1202.1,549.18,111.75
O000443,4443.63,869.5,953.72,280.03,48.51
O000444,10743.2,2578.47,2088.42,808.8,361.29
O000445,4048.86,922.97,889.15,357.79,83.32
O000446,999.96,265.27,177.02,102.59,11.54
O000447,13888.62,3029.81,2856.89,670.09,460.1
O000448,2661.01,562.46,426.78,296.02,73.15
O000449,4289.91,1006.18,951.41,305.89,107.34
O000450,2574.78,615.01,414.17,83.92,27.28
O000451,1863.74,424.91,388.22,157.93,32.42
O000452,3012.67,657.34,489.95,193.9,103.53
O000453,6727.8,1600.35,1096.74,373.17,203.47
O000454,11040.38,2568.69,2003.46,1028.51,209.57
O000455,5367.78,1145.81,1188.09,378.31,163.3
O000456,4425.83,1104.61,995.72,436.14,133.66
O000457,4021.16,878.43,772.98,325.45,127.89
O000458,1309.43,277.17,173.74,64.99,18.12
O000459,7647.12,1553.89,1550.6,300.25,150.24
O000460,17088.25,2856.86,3246.26,1114.99,264.63
O000461,4541.59,1028.37,961.25,201.44,126.36
O000462,715.39,150.38,169.16,33.76,15.31
O000463,11795.47,2409.74,2025.83,629.98,442.34
O000464,1906.19,440.11,348.64,125.2,34.41
O000465,3809.76,849.24,787.75,114.61,42.62
O000466,3437.68,755.43,657.42,121.97,53.49
O000467,9800.38,1881.59,1813.46,363.3,322.34
O000468,10870.93,2304.32,1775.9,463.85,171.77
O000469,9858.1,2334.06,1384.56,720.49,174.05
O000470,706.09,181.82,120.84,49.98,23.71
O000471,2647.76,700.34,576.81,227.25,55.79
O000472,2439.9,644.77,628.74,132.8,89.95
O000473,343.09,74.54,59.64,21.3,11.42
O000474,3610.45,962.54,732.45,211.78,113.75
O000475,12289.71,3245.79,2234.6,663.18,373.73
O000476,2215.8,482.68,433.48,171.24,36.09
O000477,4623.92,954.61,727.35,206.16,65.75
O000478,5558.27,1184.1,958.46,405.97,144.95
O000479,8954.34,1838.65,1911.36,329.59,228.88
O000480,1751.61,410.23,323.03,137.96,59.39
O000481,3380.34,635.58,567.2,284.43,69.68
O000482,2063.8,414.85,454.04,158.54,49.86
O000483,7856.22,1460.36,1568.4,565.96,96.14
O000484,734.51,161.48,157.47,67.1,28.43
O000485,3627.35,739.07,602.73,405.66,103.06
O000486,9828.73,2185.49,1899.82,850.59,314.69
O000487,6172.89,1086.95,1385.59,287.84,184.31
O000488,11102.21,2214.33,1783.19,782.37,324.58
O000489,4894.11,1076.07,1183.01,202.88,90.23
O000490,2343.05,603.19,407.78,214.54,44.41
O000491,19852.21,3837.74,4244.21,940.64,577.19
O000492,11510.3,2567.44,2713.09,1012.84,181.41
O000493,4039.69,935.9,625.65,227.92,64.88
O000494,3956.28,988.75,649.75,131.56,61.57
O000495,5973.58,1376.99,844.95,321.46,98.1
O000496,5732.42,1236.97,1323.42,229.37,139.84
O000497,12234.07,3005.84,2205.94,891.9,218.12
O000498,1564.65,409.67,370.19,118.92,31.43
O000499,1375.93,238.24,208.08,102.16,25.09
O000500,7895.13,1613.65,1388.41,618.22,263.58
O000501,11121.48,2213.12,2439.0,575.09,167.33
O000502,4590.86,842.87,1063.65,367.29,195.73
O000503,2445.55,666.74,406.66,74.0,24.76
O000504,9453.45,1772.72,1854.28,500.79,189.89
O000505,3492.31,663.08,745.88,224.13,118.65
O000506,3262.73,889.45,668.71,291.95,32.16
O000507,12319.33,3005.11,1834.93,840.91,406.08
O000508,5293.89,969.58,1108.78,205.09,206.78
O000509,6882.95,1413.89,1284.48,473.6,250.32
O000510,1890.29,384.66,365.42,159.8,43.35
O000511,2505.6,590.41,444.26,124.04,42.67
O000512,8825.22,2210.74,1834.24,442.66,183.15
O000513,1442.12,375.77,309.6,128.72,22.13
O000514,4092.32,947.15,681.79,264.18,129.93
O000515,5202.15,1192.5,751.88,481.71,157.29
O000516,13610.06,2743.47,2236.25,451.71,439.66
O000517,1495.69,282.26,287.8,84.93,20.08
O000518,1120.18,235.64,252.5,38.29,28.54
O000519,4500.88,934.31,876.46,179.99,73.81
O000520,5619.0,1199.31,1243.72,193.39,196.57
O000521,379.58,89.78,64.14,29.25,5.17
O000522,8469.45,1339.86,1707.44,368.79,268.43
O000523,2157.86,528.98,471.86,126.39,70.25
O000524,16160.73,3152.18,2827.99,993.49,235.07
O000525,2903.91,519.63,548.77,116.72,56.9
O000526,802.16,211.56,138.62,65.84,25.72
O000527,3261.69,652.59,553.19,207.67,34.08
O000528,6465.46,1701.69,1049.66,430.81,238.66
O000529,28517.29,5154.8,4500.38,1090.15,775.27
O000530,2374.33,500.96,442.73,113.05,34.67
O000531,13907.59,3136.16,2605.82,536.64,495.67
O000532,5711.94,1136.79,1230.96,326.86,66.58
O000533,10163.75,2578.42,2122.73,601.66,171.11
O000534,2356.97,597.72,478.78,182.34,53.81
O000535,2864.04,719.42,606.06,272.43,66.69
O000536,294.11,65.12,63.01,8.35,7.58
O000537,8979.12,1661.96,1779.87,807.93,171.61
O000538,14163.63,3305.89,2812.25,475.0,188.01
